Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product Name,Sales,Units,Gross Profit,Cost,Factory,Latitude,Longitude,Shipping_Delay_Days,Profit_Margin,Price_per_Unit,Cost_per_Unit,Units_Outlier,Profit_Margin_Outlier
2024-12-11,2030-06-07,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy'S,32.076176,-81.088371,2004,0.6533333333333333,3.75,1.3,False,False
2024-12-11,2030-06-07,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot'S O' Nuts,32.881893,-111.768036,2004,0.7134670487106017,3.49,1.0,False,False
2021-05-04,2026-10-25,Same Day,155271,United States,Middletown,Connecticut,06457,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy'S,32.076176,-81.088371,2000,0.6533333333333334,3.75,1.3,False,False
2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy'S,32.076176,-81.088371,2005,0.6533333333333333,3.75,1.3,False,False
2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot'S O' Nuts,32.881893,-111.768036,2005,0.6944444444444444,3.6,1.1,False,False
2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,27.92,8,19.92,8.0,Lot'S O' Nuts,32.881893,-111.768036,2005,0.7134670487106017,3.49,1.0,False,False
2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot'S O' Nuts,32.881893,-111.768036,2005,0.7134670487106017,3.49,1.0,False,False
2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot'S O' Nuts,32.881893,-111.768036,2005,0.6666666666666666,3.6,1.2,False,False
2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot'S O' Nuts,32.881893,-111.768036,2007,0.6944444444444444,3.6,1.1,False,False
2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot'S O' Nuts,32.881893,-111.768036,2007,0.6944444444444444,3.6,1.0999999999999999,False,False
2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy'S,32.076176,-81.088371,2007,0.6533333333333334,3.75,1.3,False,False
2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot'S O' Nuts,32.881893,-111.768036,2007,0.7134670487106016,3.49,1.0,False,False
2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot'S O' Nuts,32.881893,-111.768036,2007,0.6944444444444444,3.6,1.0999999999999999,False,False
2024-04-15,2029-10-11,Standard Class,114412,United States,Concord,North Carolina,28027,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy'S,32.076176,-81.088371,2005,0.6533333333333333,3.75,1.3,False,False
2021-06-22,2026-12-18,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot'S O' Nuts,32.881893,-111.768036,2005,0.6666666666666666,3.6,1.2,False,False
2021-06-22,2026-12-18,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy'S,32.076176,-81.088371,2005,0.6533333333333333,3.75,1.3,False,False
2021-06-22,2026-12-18,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy'S,32.076176,-81.088371,2005,0.6492307692307693,3.25,1.14,False,False
2021-12-01,2027-05-26,First Class,143210,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot'S O' Nuts,32.881893,-111.768036,2002,0.6666666666666666,3.6,1.2,False,False
2021-12-01,2027-05-26,First Class,143210,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy'S,32.076176,-81.088371,2002,0.6492307692307693,3.25,1.14,False,False
2021-12-01,2027-05-26,First Class,143210,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot'S O' Nuts,32.881893,-111.768036,2002,0.6666666666666666,3.6,1.2,False,False
2022-11-17,2028-05-16,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot'S O' Nuts,32.881893,-111.768036,2007,0.6666666666666666,3.6,1.2,False,False
2022-11-17,2028-05-16,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot'S O' Nuts,32.881893,-111.768036,2007,0.6666666666666666,3.6,1.2,False,False
2022-11-17,2028-05-16,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot'S O' Nuts,32.881893,-111.768036,2007,0.6666666666666666,3.6,1.2,False,False
2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Fudge Mallows,18.0,5,12.0,6.0,Lot'S O' Nuts,32.881893,-111.768036,2002,0.6666666666666666,3.6,1.2,False,False
2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy'S,32.076176,-81.088371,2002,0.6492307692307693,3.25,1.1400000000000001,False,False
2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot'S O' Nuts,32.881893,-111.768036,2002,0.6666666666666666,3.6,1.2,False,False
2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot'S O' Nuts,32.881893,-111.768036,2002,0.7134670487106017,3.49,1.0,False,False
2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy'S,32.076176,-81.088371,2004,0.6533333333333333,3.75,1.3,False,False
2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot'S O' Nuts,32.881893,-111.768036,2004,0.6944444444444444,3.6,1.0999999999999999,False,False
2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy'S,32.076176,-81.088371,2004,0.6492307692307693,3.25,1.14,False,False
2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,15.0,4,9.8,5.2,Wicked Choccy'S,32.076176,-81.088371,2004,0.6533333333333334,3.75,1.3,False,False
2024-11-05,2030-05-02,Standard Class,157196,United States,San Diego,California,92105,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot'S O' Nuts,32.881893,-111.768036,2004,0.7134670487106017,3.49,1.0,False,False
2021-02-18,2026-08-17,Standard Class,152905,United States,Arlington,Texas,76017,Chocolate,Interior,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot'S O' Nuts,32.881893,-111.768036,2006,0.6666666666666666,3.6,1.2,False,False
2021-03-07,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1.0,Lot'S O' Nuts,32.881893,-111.768036,2001,0.7134670487106017,3.49,1.0,False,False
2021-03-07,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot'S O' Nuts,32.881893,-111.768036,2001,0.6666666666666666,3.6,1.2,False,False
2021-03-07,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot'S O' Nuts,32.881893,-111.768036,2001,0.6666666666666666,3.6,1.2,False,False
2023-11-10,2029-05-04,First Class,140935,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy'S,32.076176,-81.088371,2002,0.6492307692307692,3.25,1.14,False,False
2023-11-10,2029-05-04,First Class,140935,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot'S O' Nuts,32.881893,-111.768036,2002,0.7134670487106017,3.49,1.0,False,False
2022-09-18,2028-03-16,Standard Class,150511,United States,Des Moines,Washington,98198,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy'S,32.076176,-81.088371,2006,0.6492307692307692,3.25,1.14,False,False
2023-03-13,2028-09-07,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy'S,32.076176,-81.088371,2005,0.6492307692307692,3.25,1.14,False,False
2023-03-13,2028-09-07,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy'S,32.076176,-81.088371,2005,0.6533333333333334,3.75,1.3,False,False
2023-03-13,2028-09-07,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,14.4,4,10.0,4.4,Lot'S O' Nuts,32.881893,-111.768036,2005,0.6944444444444444,3.6,1.1,False,False
2023-08-29,2029-02-23,Standard Class,161207,United States,Concord,New Hampshire,03301,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot'S O' Nuts,32.881893,-111.768036,2005,0.7134670487106016,3.49,1.0,False,False
2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot'S O' Nuts,32.881893,-111.768036,2002,0.6944444444444444,3.6,1.1,False,False
2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,Lot'S O' Nuts,32.881893,-111.768036,2002,0.6666666666666666,3.6,1.2,False,False
2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot'S O' Nuts,32.881893,-111.768036,2002,0.7134670487106017,3.49,1.0,False,False
2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot'S O' Nuts,32.881893,-111.768036,2002,0.7134670487106017,3.49,1.0,False,False
2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,Wicked Choccy'S,32.076176,-81.088371,2002,0.6533333333333334,3.75,1.3,False,False
2024-05-07,2029-11-02,Standard Class,159688,United States,Los Angeles,California,90004,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot'S O' Nuts,32.881893,-111.768036,2005,0.6944444444444444,3.6,1.1,False,False
2024-09-16,2030-03-14,Standard Class,134173,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4.0,Lot'S O' Nuts,32.881893,-111.768036,2005,0.7134670487106017,3.49,1.0,False,False
2024-11-05,2030-04-30,First Class,118213,United States,Greenwood,Indiana,46142,Other,Interior,Wonka Gum,3.75,3,1.95,1.8,Secret Factory,41.446333,-90.565487,2002,0.52,1.25,0.6,False,False
2024-11-05,2030-04-30,First Class,118213,United States,Greenwood,Indiana,46142,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,Wicked Choccy'S,32.076176,-81.088371,2002,0.6533333333333334,3.75,1.3,False,False
2024-11-05,2030-04-30,First Class,118213,United States,Greenwood,Indiana,46142,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,37.5,10,24.5,13.0,Wicked Choccy'S,32.076176,-81.088371,2002,0.6533333333333333,3.75,1.3,True,False
2024-11-06,2030-05-06,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy'S,32.076176,-81.088371,2007,0.6533333333333334,3.75,1.3,False,False
2024-11-06,2030-05-06,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,Lot'S O' Nuts,32.881893,-111.768036,2007,0.6666666666666667,3.6,1.2,False,False
2024-11-06,2030-05-06,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy'S,32.076176,-81.088371,2007,0.6492307692307693,3.25,1.14,False,False
2021-12-20,2027-06-15,First Class,103100,United States,Indianapolis,Indiana,46203,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot'S O' Nuts,32.881893,-111.768036,2003,0.7134670487106016,3.49,1.0,False,False
2021-12-20,2027-06-15,First Class,103100,United States,Indianapolis,Indiana,46203,Chocolate,Interior,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,Lot'S O' Nuts,32.881893,-111.768036,2003,0.6666666666666666,3.6,1.2,False,False
2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,18.0,5,12.5,5.5,Lot'S O' Nuts,32.881893,-111.768036,2005,0.6944444444444444,3.6,1.1,False,False
2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot'S O' Nuts,32.881893,-111.768036,2005,0.6944444444444444,3.6,1.0999999999999999,False,False
2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4,Wicked Choccy'S,32.076176,-81.088371,2005,0.6492307692307693,3.25,1.1400000000000001,True,False
2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy'S,32.076176,-81.088371,2005,0.6492307692307692,3.25,1.14,False,False
2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy'S,32.076176,-81.088371,2005,0.6533333333333334,3.75,1.3,False,False
2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot'S O' Nuts,32.881893,-111.768036,2005,0.7134670487106016,3.49,1.0,False,False
2023-02-02,2028-07-30,Standard Class,147431,United States,New York City,New York,10011,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy'S,32.076176,-81.088371,2005,0.6533333333333334,3.75,1.3,False,False
2023-09-25,2029-03-22,Standard Class,122245,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,Lot'S O' Nuts,32.881893,-111.768036,2005,0.6666666666666666,3.6,1.2,False,False
2023-12-17,2029-06-12,Standard Class,117121,United States,Detroit,Michigan,48205,Chocolate,Interior,Wonka Bar - Fudge Mallows,46.8,13,31.2,15.6,Lot'S O' Nuts,32.881893,-111.768036,2004,0.6666666666666667,3.5999999999999996,1.2,True,False
2024-05-18,2029-11-10,First Class,121643,United States,Portland,Oregon,97206,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot'S O' Nuts,32.881893,-111.768036,2002,0.6666666666666666,3.6,1.2,False,False
2024-06-05,2029-11-27,First Class,126788,United States,Pearland,Texas,77581,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot'S O' Nuts,32.881893,-111.768036,2001,0.6944444444444444,3.6,1.0999999999999999,False,False
2024-08-03,2030-01-28,Standard Class,140781,United States,Bloomington,Illinois,61701,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy'S,32.076176,-81.088371,2004,0.6492307692307693,3.25,1.14,False,False
2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Milk Chocolate,13.0,4,8.44,4.56,Wicked Choccy'S,32.076176,-81.088371,2006,0.6492307692307692,3.25,1.14,False,False
2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot'S O' Nuts,32.881893,-111.768036,2006,0.6666666666666666,3.6,1.2,False,False
2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot'S O' Nuts,32.881893,-111.768036,2006,0.7134670487106017,3.49,1.0,False,False
2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy'S,32.076176,-81.088371,2006,0.6492307692307692,3.25,1.14,False,False
2024-11-19,2030-05-16,Standard Class,101042,United States,Henderson,Kentucky,42420,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,Wicked Choccy'S,32.076176,-81.088371,2004,0.6492307692307693,3.25,1.14,False,False
2024-11-19,2030-05-16,Standard Class,101042,United States,Henderson,Kentucky,42420,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy'S,32.076176,-81.088371,2004,0.6533333333333334,3.75,1.3,False,False
2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy'S,32.076176,-81.088371,2003,0.6533333333333333,3.75,1.3,False,False
2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,Lot'S O' Nuts,32.881893,-111.768036,2003,0.7134670487106016,3.49,1.0,False,False
2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy'S,32.076176,-81.088371,2003,0.6533333333333334,3.75,1.3,False,False
2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot'S O' Nuts,32.881893,-111.768036,2003,0.7134670487106017,3.49,1.0,False,False
2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy'S,32.076176,-81.088371,2003,0.6533333333333333,3.75,1.3,False,False
